,row_id,name,price,url,24h_%,7d%,Market_Cap,Volume(24h),Volume(2),Circulating_Supply
0,0,BTC,"$39,979.12",https://coinmarketcap.com/currencies/bitcoin/,+2.01%,+24.46%,"$750,391,502,193","$38,380,638,105","960,017 BTC","18,769,587 BTC"
1,1,ETH,"$2,294.83",https://coinmarketcap.com/currencies/ethereum/,+0.47%,+15.06%,"$268,220,167,154","$18,841,897,524","8,210,597 ETH","116,880,356 ETH"
2,2,USDT,$1,https://coinmarketcap.com/currencies/tether/,-0.02%,-0.03%,"$61,794,564,576","$63,806,363,649","63,807,422,444 USDT","61,795,589,988 USDT"
3,3,BNB,$311.43,https://coinmarketcap.com/currencies/binance-coin/,+5.91%,,"$52,362,755,741","$1,618,617,909","5,197,389 BNB","168,137,036 BNB"
4,4,ADA,$1.28,https://coinmarketcap.com/currencies/cardano/,+0.68%,+9.15%,"$41,002,385,481","$1,769,264,676","1,383,648,509 ADA","32,065,801,308 ADA"
5,5,XRP,$0.7211,https://coinmarketcap.com/currencies/xrp/,+12.67%,+25.67%,"$33,394,724,492","$6,530,653,530","9,056,835,363 XRP","46,312,443,360 XRP"
6,6,USDC,$0.9997,https://coinmarketcap.com/currencies/usd-coin/,-0.03%,-0.06%,"$27,301,612,305","$3,140,176,198","3,141,093,508 USDC","27,309,587,668 USDC"
7,7,DOGE,$0.205,https://coinmarketcap.com/currencies/dogecoin/,+0.43%,+7.86%,"$26,777,722,706","$2,054,124,695","10,020,323,073 DOGE","130,625,678,842 DOGE"
8,8,DOT,$14.42,https://coinmarketcap.com/currencies/polkadot-new/,+1.09%,+17.56%,"$14,119,829,968","$1,144,881,123","79,386,274 DOT","979,071,683 DOT"
9,9,BUSD,$0.9998,https://coinmarketcap.com/currencies/binance-usd/,-0.02%,-0.06%,"$12,221,596,517","$5,250,187,187","5,251,464,993 BUSD","12,224,571,047 BUSD"
10,10,UNI,$18.96,https://coinmarketcap.com/currencies/uniswap/,+1.20%,+13.71%,"$11,135,545,104","$427,588,806","22,553,878 UNI","587,362,723 UNI"
11,11,BCH,$508.80,https://coinmarketcap.com/currencies/bitcoin-cash/,+1.98%,+18.02%,"$9,566,415,001","$2,176,330,087","4,277,379 BCH","18,801,919 BCH"
12,12,LTC,$139.31,https://coinmarketcap.com/currencies/litecoin/,+4.12%,+18.35%,"$9,299,572,912","$1,827,854,333","13,120,354 LTC","66,752,415 LTC"
13,13,LINK,$18.90,https://coinmarketcap.com/currencies/chainlink/,+24.02%,,"$8,343,970,143","$1,035,350,183","54,784,112 LINK","441,509,554 LINK"
14,14,WBTC,"$39,908.42",https://coinmarketcap.com/currencies/wrapped-bitcoin/,+2.17%,+24.45%,"$7,705,286,766","$388,097,819","9,725 WBTC","193,074 WBTC"
15,15,SOL,$27.69,https://coinmarketcap.com/currencies/solana/,+3.29%,,"$7,548,966,360","$311,442,314","11,248,008 SOL","272,637,428 SOL"
16,16,MATIC,$1.01,https://coinmarketcap.com/currencies/polygon/,+13.81%,,"$6,470,777,323","$913,615,555","905,138,231 MATIC","6,410,735,794 MATIC"
17,17,ETC,$48.99,https://coinmarketcap.com/currencies/ethereum-classic/,+0.35%,+13.33%,"$6,311,433,349","$2,200,230,076","44,907,770 ETC","128,819,435 ETC"
18,18,XLM,$0.2682,https://coinmarketcap.com/currencies/stellar/,+2.66%,+17.71%,"$6,269,309,950","$690,908,728","2,575,946,561 XLM","23,374,154,562 XLM"
19,19,THETA,$5.77,https://coinmarketcap.com/currencies/theta/,+31.43%,,"$5,765,776,281","$399,847,620","69,348,445 THETA","1,000,000,000 THETA"
20,20,DAI,$1.00,https://coinmarketcap.com/currencies/multi-collateral-dai/,-0.08%,-0.10%,"$5,607,212,540","$438,628,208","438,257,807 DAI","5,602,477,501 DAI"
21,21,ICP,$40.51,https://coinmarketcap.com/currencies/internet-computer/,+0.41%,+21.72%,"$5,545,389,946","$322,587,096","7,963,718 ICP","136,899,214 ICP"
22,22,VET,$0.08217,https://coinmarketcap.com/currencies/vechain/,+23.67%,,"$5,284,972,834","$758,178,308","9,226,665,282 VET","64,315,576,989 VET"
23,23,LUNA,$10.97,https://coinmarketcap.com/currencies/terra-luna/,+16.19%,+65.35%,"$4,572,330,266","$572,609,985","52,220,200 LUNA","416,981,905 LUNA"
24,24,FIL,$49.39,https://coinmarketcap.com/currencies/filecoin/,+0.42%,+7.11%,"$4,526,088,010","$419,918,439","8,502,106 FIL","91,639,893 FIL"
25,25,TRX,$0.06022,https://coinmarketcap.com/currencies/tron/,+0.29%,+11.92%,"$4,315,290,801","$895,127,270","14,864,470,648 TRX","71,659,657,369 TRX"
26,26,XMR,$233.56,https://coinmarketcap.com/currencies/monero/,+4.29%,+18.52%,"$4,195,198,330","$212,172,004","908,428 XMR","17,962,013 XMR"
